,food,service,value,atmosphere
Atrium Lounge,4.5,5,5,5
Melt Café,4.5,4.5,4,4
Lobby Lounge at Conrad Centennial Singapore,4,4.5,4,4.5
Colony,4.5,4.5,4.5,4.5
Dolce Vita,4.5,4.5,4,4.5
Le Noir Bar & Lounge,4.5,5,4.5,5
Fu Lin Men Chinese Restaurant (SRC),4.5,5,4.5,5
Summer Pavilion,4.5,4.5,4,5
Golden Peony at Conrad Centennial Singapore,4,4,3.5,4.5
Paulaner Bräuhaus Singapore,4,4,3.5,4
Cherry Garden,4.5,4.5,4,4.5
Oscar's,4,4.5,3.5,4
Rise Restaurant,4.5,4.5,4,4.5
Republic,4.5,4.5,4,4.5
KOMA Singapore,4.5,4.5,4,4.5
Asian Market Cafe,4,4,3.5,4
Prego,4,4.5,3.5,4.5
Spago Dining Room by Wolfgang Puck,4.5,4.5,4,4.5
Cut by Wolfgang Puck,4.5,4.5,3.5,4
Peach Blossoms,4.5,4.5,4,4
Peppermint,4,4.5,4,4
Spago Bar & Lounge,4.5,4.5,4,4.5
Yardbird Southern Table & Bar,4,4.5,4,4
LAVO Italian Restaurant & Rooftop Bar,4,4.5,3.5,4.5
JAAN by Kirk Westaway,4.5,4.5,4,4.5
Ramen Nagi,4.5,4.5,4.5,2.5
Waku Ghin,4.5,4.5,3.5,4
CÉ LA VI,4,4,3.5,4.5
Restaurant Labyrinth,4.5,4.5,4,4
La Brasserie4,4.5,4,4.5
LeVeL33,4,4,3.5,4.5
Bread Street Kitchen,4,4,3.5,4
TWG Tea Garden at Marina Bay Sands,4.5,4.5,4,4
OLA Cocina Del Mar,4.5,4.5,4,4
Edge Food Theatre,4.5,4.5,4,4.5
Keyaki Japanese Restaurant,4.5,4.5,3.5,4.5
Din Tai Fung,4.5,4,4,3.5
Hai Tien Lo,4,4,4,4
Sen Of Japan,4,4,3.5,4
The Landing Point,4,4,3.5,4.5
Kai Garden,4.5,4,4,4
The Floating Donut Company,4.5,5,4.5,5
PS.Cafe One Fullerton,4.5,4,4,4.5
Lantern Rooftop Bar,3.5,4,3.5,4.5
Black Tap - Singapore,4,4,3.5,4
Super Loco Customs House,4.5,4,4,4
Saint Pierre,4.5,4.5,4,4.5
Morton's, The Steakhouse,4.5,4.5,3.5,4
DC Comics Super Heroes Cafe,3.5,3.5,3,4
Punjab Grill,4.5,4,3.5,4
redpan,4,4,4,4
OverEasy,4,4,3.5,4.5
DB Bistro & Oyster Bar,4,4.5,3.5,4
The Clifford Pier,4,4,3.5,4.5
The Boiler (Esplanade),4.5,4.5,4,4
Palm Beach Seafood Restaurant,4,3.5,3.5,4
Sabai Fine Thai on the Bay,4.5,4,3.5,4
Old School Delights,4,4,4,4
