,food,service,value,atmosphere
Red Sparrow,3.5,3.5,3.5,3.5
Blu Kouzina,4.5,4.5,4,4.5
The Dempsey Cookhouse & Bar,4,4,4,4.5
Jim Thompson,4,4.5,3.5,4.5
Chopsuey Cafe,4,4,3.5,4.5
The White Rabbit, 4,4,3.5,4.5
Long Beach Seafood Restaurant,4.5,4,3.5,3.5
Samy's Curry,4,4,4,3.5
Candlenut,4.5,4.5,4,4
JUMBO Seafood (Dempsey Hill),4.5,4,3.5,4
PS.Cafe Harding,4,3.5,3.5,4
La Salsa,4,3.5,3.5,4
Chop Suey Cafe,4,4,3.5,4.5
Margarita's Dempsey Hill,4,4,3.5,4
Atout,4,4,4,4.5
Open Farm Community,4,4,3.5,4.5
Chopsuey Cafe,4.5,4,4,4.5
Don Quijote Spanish Restaurant,4,4,3.5,4
Min Jiang at Dempsey,4.5,4,3.5,4
RedDot BrewHouse Dempsey,3.5,3.5,3.5,4.5
Culina at COMO Dempsey,4,3.5,3.5,4
The Disgruntled Chef,4,4,3.5,4
Huber's Butchery,4,3.5,3.5,3
Morsels,4,4,3.5,4
COMO Cuisine,3.5,4,3.5,4.5
La Forketta,4,3.5,3.5,4
Tiong Bahru Bakery,3.5,3.5,3.5,4
Little House of Dreams,4,4,3.5,4
Tawandang Microbrewery,3.5,3.5,3,3.5
Siri House,4.5,4,4,4
Maduro,1,1,1,1
VIOS,2,2,2,2
Ling Ling the Wine Company,2.5,2.5,2.5,2.5
Roundhouse singapore,2.5,2.5,2.5,2.5
Meat-Me Steakhouse,3,3,3,3
Villa Enrique,3.5,3.5,3.5,3.5
Hacienda,3,3,3,3.5
Moonbow,3,3,3,3
Hathaway Dempsey,3.5,3.5,3.5,3.5
Pampelmousse Bistro + Bar,5,5,5,5
Lounge 7,4.5,4.5,4.5,4.5
Dome Cafe,3,3,2.5,3
Jones The Grocer,3.5,3.5,3.5,3.5
MoCA Cafe,4,4,4,4
Qiu Zhang,4.5,4.5,4.5,4.5
Backyard at Dempsay,4,4,4,4
G House,4,4,4,4
Bécasse Restaurant,3,3,3,3.5
Barracks Cafe,3.5,3.5,3.5,4
The Pantry,3.5,3.5,3.5,3.5
The Dempsey Project,4,4,4,4
The Wine Company,4,4,4,3.5
Vintage India,4,4.5,3.5,4.5
Carrotsticks & Cravings (Dempsey),4.5,4,3.5,4
Bincho at Min Jiang,4,4,3.5,4
Harry's Dempsey,3.5,3.5,3.5,4
Jiu Zhuang,4.5,4.5,4.5,4.5
Tuga,4,4,4,4
Jones the Grocer - Singapore,3.5,3,3,3.5
Ippoh Tempura Bar by Ginza Ippoh,4.5,4.5,3.5,4.5
CM-PB Contemporary Melting Pot and Bar,4,4,3.5,4
The Rabbit Hole,4,3.5,3.5,4.5
Chang Korean BBQ Restaurant,4,3.5,3,3.5
The Wine Company,3.5,3.5,4,4.5
Rakuichi Japanese Restaurant,4,3.5,3.5,3.5
House,3.5,3.5,3,3.5
Da Paolo Dempsey Restaurant & Bar,3.5,3.5,3,4.5
Atrium Lounge,4.5,5,5,5
Melt Café,4.5,4.5,4,4
Lobby Lounge at Conrad Centennial Singapore,4,4.5,4,4.5
Colony,4.5,4.5,4.5,4.5
Dolce Vita,4.5,4.5,4,4.5
Le Noir Bar & Lounge,4.5,5,4.5,5
Fu Lin Men Chinese Restaurant (SRC),4.5,5,4.5,5
Summer Pavilion,4.5,4.5,4,5
Golden Peony at Conrad Centennial Singapore,4,4,3.5,4.5
Paulaner Bräuhaus Singapore,4,4,3.5,4
Cherry Garden,4.5,4.5,4,4.5
Oscar's,4,4.5,3.5,4
Rise Restaurant,4.5,4.5,4,4.5
Republic,4.5,4.5,4,4.5
KOMA Singapore,4.5,4.5,4,4.5
Asian Market Cafe,4,4,3.5,4
Prego,4,4.5,3.5,4.5
Spago Dining Room by Wolfgang Puck,4.5,4.5,4,4.5
Cut by Wolfgang Puck,4.5,4.5,3.5,4
Peach Blossoms,4.5,4.5,4,4
Peppermint,4,4.5,4,4
Spago Bar & Lounge,4.5,4.5,4,4.5
Yardbird Southern Table & Bar,4,4.5,4,4
LAVO Italian Restaurant & Rooftop Bar,4,4.5,3.5,4.5
JAAN by Kirk Westaway,4.5,4.5,4,4.5
Ramen Nagi,4.5,4.5,4.5,2.5
Waku Ghin,4.5,4.5,3.5,4
CÉ LA VI,4,4,3.5,4.5
Restaurant Labyrinth,4.5,4.5,4,4
La Brasserie4,4.5,4,4.5
LeVeL33,4,4,3.5,4.5
Bread Street Kitchen,4,4,3.5,4
TWG Tea Garden at Marina Bay Sands,4.5,4.5,4,4
OLA Cocina Del Mar,4.5,4.5,4,4
Edge Food Theatre,4.5,4.5,4,4.5
Keyaki Japanese Restaurant,4.5,4.5,3.5,4.5
Din Tai Fung,4.5,4,4,3.5
Hai Tien Lo,4,4,4,4
Sen Of Japan,4,4,3.5,4
The Landing Point,4,4,3.5,4.5
Kai Garden,4.5,4,4,4
The Floating Donut Company,4.5,5,4.5,5
PS.Cafe One Fullerton,4.5,4,4,4.5
Lantern Rooftop Bar,3.5,4,3.5,4.5
Black Tap - Singapore,4,4,3.5,4
Super Loco Customs House,4.5,4,4,4
Saint Pierre,4.5,4.5,4,4.5
Morton's The Steakhouse,4.5,4.5,3.5,4
DC Comics Super Heroes Cafe,3.5,3.5,3,4
Punjab Grill,4.5,4,3.5,4
redpan,4,4,4,4
OverEasy,4,4,3.5,4.5
DB Bistro & Oyster Bar,4,4.5,3.5,4
The Clifford Pier,4,4,3.5,4.5
The Boiler (Esplanade),4.5,4.5,4,4
Palm Beach Seafood Restaurant,4,3.5,3.5,4
Sabai Fine Thai on the Bay,4.5,4,3.5,4
Old School Delights,4,4,4,4
LONG BEACH UDMC,4,3.5,3.5,3.5
Crab in da Bag,4,4.5,3.5,4
SandBank,4,4,3.5,4
Sushi Tei,3.5,3.5,3.5,3.5
The Seafood International Market & Restaurant,4,3.5,4,3.5
Bakery And Bar St. Marc,3.5,3.5,3.5,3.5
Georges Beach Club,3.5,4,3.5,4
Basil &Thyme,3,3,3,3
Basil & Thyme,3.5,3.5,3,4.5
Cotton,4,4,4,4
Beach Cabana,2.5,2.5,2.5,2.5
Atmosphere Bistro & Bar,2.5,3,2.5,3
My Briyani House,2,2,2,2
Full Pint Brewery & Fish Bar Restaurant,3,3,2.5,2
